Date,Open,High,Low,Close,Volume,Obv,Rsi
2019-06-30,10624.93,12180.0,10766.03,10854.1,90962.268271,-3785815.818573997,48.94540523176115
2019-06-29,10854.1,12441.54,11475.02,11903.13,84512.530443,-3701303.288130997,56.62395387837167
2019-06-28,11903.13,12480.0,10982.88,12400.63,69642.074157,-3631661.213973997,59.71812179612765
2019-06-27,12400.63,13478.04,10525.1,11329.99,95795.203964,-3727456.417937997,51.24605421070733
2019-06-26,11329.99,13970.0,11741.0,13093.8,173894.820889,-3553561.5970489974,61.04969072736454
2019-06-25,13093.8,11850.0,11026.0,11820.86,155930.147386,-3709491.744434997,52.7981186943202
2019-06-24,11820.86,11143.63,10620.8,11056.59,61276.686648,-3770768.4310829975,48.554770274890274
2019-06-23,11056.59,11392.64,10555.18,10906.07,43101.045285,-3813869.4763679975,47.7409778634763
2019-06-22,10906.07,11160.0,9921.72,10729.5,57445.323945,-3871314.800312997,46.75110146356131
2019-06-21,10729.5,10174.99,9518.06,10159.86,104169.447976,-3975484.248288997,43.60958150608428
2019-06-20,10159.86,9590.0,9175.2,9517.12,50484.415892,-4025968.664180997,40.3175663985907
2019-06-19,9517.12,9304.0,8960.0,9255.49,34556.053982,-4060524.718162997,39.026132127353385
2019-06-18,9255.49,9336.36,8950.0,9081.55,32147.706495,-4092672.424657997,38.15118336996687
2019-06-17,9081.55,9444.0,8950.0,9313.96,51554.569401,-4041117.855256997,40.08408318967273
2019-06-16,9313.96,9333.0,8760.0,8953.33,47895.485374,-4089013.340630997,38.09463126105837
2019-06-15,8953.33,8864.99,8567.63,8808.7,63289.251219,-4152302.591849997,37.2951738216663
2019-06-14,8808.7,8684.41,8144.32,8650.0,31791.636039,-4184094.227888997,36.3926706736969
2019-06-13,8650.0,8309.82,8010.03,8218.54,39835.246255,-4223929.474143997,33.98482098596446
2019-06-12,8218.54,8200.0,7788.99,8127.64,30467.764341,-4254397.238484996,33.482203602238144
2019-06-11,8127.64,8010.0,7692.23,7884.9,41597.082622,-4295994.321106996,32.11623929463285
2019-06-10,7884.9,8020.0,7511.0,7982.75,30334.999427,-4265659.321679996,33.297569058169515
2019-06-09,7982.75,7935.0,7506.66,7628.13,36756.078468,-4302415.400147996,31.179859097318413
2019-06-08,7628.13,8044.65,7751.0,7893.62,31568.465157,-4270846.934990996,34.536631714346626
2019-06-07,7893.62,8100.0,7737.49,7980.53,22657.329634,-4248189.605356996,35.64327228009
2019-06-06,7980.53,7868.13,7444.58,7786.7,33942.225658,-4282131.831014996,34.252560264351274
2019-06-05,7786.7,7896.7,7572.78,7776.5,36624.118747,-4318755.949761996,34.17698889434965
2019-06-04,7776.5,8115.66,7481.02,7687.03,48679.656455,-4367435.606216996,33.47923584670106
2019-06-03,7687.03,8800.95,8080.8,8115.82,74143.948941,-4293291.657275996,39.82040185084638
2019-06-02,8115.82,8814.78,8524.0,8725.98,45692.965104,-4247598.692171996,47.491002737694195
2019-06-01,8725.98,8626.0,8442.36,8544.07,27835.133265,-4275433.825436996,45.62389249260445
2019-05-31,8544.07,8594.0,8108.5,8555.0,31868.234157,-4243565.591279997,45.76187104787031
2019-05-30,8555.0,9074.26,8005.0,8269.54,44727.49162,-4288293.082899997,42.71343060584236
2019-05-29,8269.54,8750.0,8406.6,8645.68,70379.998521,-4217913.084378997,47.660962635024795
2019-05-28,8645.68,8798.49,8510.63,8715.64,33880.865922,-4184032.218456997,48.55097877041716
2019-05-27,8715.64,8908.32,8589.0,8756.32,31470.551534,-4152561.666922997,49.093060740283455
2019-05-26,8756.32,8740.0,7833.42,8614.43,51886.768793,-4204448.435715998,47.2240715008435
2019-05-25,8614.43,8091.8,7908.34,8025.41,49652.144567,-4254100.580282997,40.35569006607773
2019-05-24,8025.41,8130.0,7766.0,7964.87,28414.328817,-4282514.909099997,39.71631313514038
2019-05-23,7964.87,7940.98,7461.0,7851.51,46664.785325,-4329179.694424997,38.48670968649234
2019-05-22,7851.51,8016.0,7465.0,7628.43,49648.184701,-4378827.879125997,36.11700945369132
2019-05-21,7628.43,8042.32,7771.0,7904.87,49136.994589,-4329690.884536997,40.967634918308676
2019-05-20,7904.87,8156.03,7553.0,7938.15,52301.752247,-4277389.132289997,41.54309530893554
2019-05-19,7938.15,8275.09,7243.08,8148.48,65859.208564,-4211529.923725997,45.18027449497582
2019-05-18,8148.48,7458.0,7156.61,7257.45,65577.442058,-4277107.365783997,35.19095824953918
2019-05-17,7257.45,7925.0,6913.0,7355.26,37054.944779,-4240052.421004997,36.841751152402345
2019-05-16,7355.26,8320.0,7705.0,7866.59,88752.008159,-4151300.4128459967,44.762938069180265
2019-05-15,7866.59,8249.0,7850.0,8169.87,69630.513996,-4081669.8988499967,48.859786520706926
2019-05-14,8169.87,8366.0,7599.56,7947.56,37884.327211,-4119554.2260609968,46.15732292941142
2019-05-13,7947.56,8100.0,6870.0,7790.71,76583.722603,-4196137.9486639965,44.29574794822044
2019-05-12,7790.71,7521.78,6750.0,6967.31,85804.735333,-4281942.683996997,36.071207743139894
